단계	HTTP	경로	구 위치(파일:라인)	신 위치(파일:라인)	판정
P2	DELETE	/api/v1/organizations/{organizationId}/teams/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:187	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:200	이식완료
P2	PATCH	/api/v1/organizations/{organizationId}/users/{targetUserId}/role	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:207	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:218	이식완료
P2	PATCH	/api/v1/organizations/{organizationId}/teams/users/{targetUserId}/permission	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:226	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:235	이식완료
P2	POST	/api/v1/organizations/{organizationId}/invitations	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:244	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:253	이식완료
P2	GET	/api/v1/organizations/{organizationId}/invitations/{invitationToken}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:264	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:272	이식완료
P2	POST	/api/v1/organizations/{organizationId}/invitations/{invitationToken}/accept	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:278	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:284	이식완료
P2	POST	/api/v1/organizations/{organizationId}/teams/{teamId}/users/{targetUserId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:292	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:298	이식완료
P2	DELETE	/api/v1/organizations/{organizationId}/users/{targetAppUserId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:313	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:318	이식완료
P2	DELETE	/api/v1/organizations/{organizationId}/teams/{teamId}/users/{targetAppUserId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:332	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:339	이식완료
P2	GET	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:353	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:361	이식완료
P2	POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/login	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:369	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:376	이식완료
P2	POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/kakao/sms	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:394	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:397	이식완료
P2	POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/naver/captcha	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:418	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:419	이식완료
P2	POST	/api/v1/organizations/{organizationId}/teams/{teamId}/channel-accounts/relogin	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/organization/controller/OrganizationController.kt:441	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/organization/controller/OrganizationController.java:444	이식완료
P2	POST	/api/v1/products/{productName}/purchases	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/productPost/controller/ProductController.kt:30	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/productPost/controller/ProductController.java:29	이식완료
P2	GET	/api/v1/stores/check	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:39	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:61	이식완료
P2	GET	/api/v1/store/search	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:52	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:73	이식완료
P2	GET	/api/v1/store/{storeId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:66	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:86	이식완료
P2	POST	/api/v1/store/register	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:78	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:97	이식완료
P2	POST	/api/v1/store/store-channel/completed	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:91	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:110	이식완료
P2	POST	/api/v1/store/store-channel	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:108	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:124	이식완료
P2	GET	/api/v1/stores/{storeId}/team	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:125	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:137	이식완료
P2	POST	/api/v1/stores/{storeId}/channels/{channelId}/auth	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:144	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:153	이식완료
P2	GET	/api/v1/stores/{storeId}/channels	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:163	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:171	이식완료
P2	GET	/api/v1/stores/{storeId}/posts/statistics	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:178	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:186	이식완료
P2	GET	/api/v1/stores/{storeId}/posts/statistics/period-count	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:207	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:218	이식완료
P2	GET	/api/v1/stores/{storeId}/organization-team	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:227	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/store/controller/StoreController.java:239	이식완료
P2	GET	/api/v1/team/keyword/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:32	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:38	이식완료
P2	GET	/api/v1/team/averageScore/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:37	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:48	이식완료
P2	GET	/api/v1/team/messageCount/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:42	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:58	이식완료
P2	GET	/api/v1/team/reviewWriteRate/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:47	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:68	이식완료
P2	GET	/api/v1/team/presentCount/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:52	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:78	이식완료
P2	GET	/api/v1/team/presentHistories/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:57	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:88	이식완료
P2	GET	/api/v1/team/presentHistories/{teamId}/excel	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/team/controller/TeamController.kt:70	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/http/team/controller/TeamController.java:104	이식완료
P3	POST	/api/v1/auth/sign-up	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:20	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/auth/api/controller/AuthController.java:24	이식완료
P3	POST	/api/v1/auth/login	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:27	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/auth/api/controller/AuthController.java:32	이식완료
P3	POST	/api/v1/jwt/create	module-core/core-api/src/main/kotlin/legalcare/medilawyer/security/JwtController.kt:24	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/security/JwtController.java:37	이식완료
P3	POST	/api/v1/jwt/refresh	module-core/core-api/src/main/kotlin/legalcare/medilawyer/security/JwtController.kt:41	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/security/JwtController.java:54	이식완료
P3	POST	/api/v1/otp/send	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/OtpController.kt:18	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/auth/api/controller/OtpController.java:23	이식완료
P4	POST	/api/v1/admin/organization-user	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:34	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:53	이식완료
P4	POST	/api/v1/admin/crawling/storeChannel	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:49	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:71	이식완료
P4	POST	/api/v1/admin/crawling/storeChannels	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:70	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:91	이식완료
P4	PATCH	/api/v1/admin/store-channel-match	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:86	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:106	이식완료
P4	POST	/api/v1/admin/organizations/{organizationId}/teams/{teamId}/stores/{storeId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:103	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:126	이식완료
P4	POST	/api/v1/admin/stores/{storeId}/communities-keywords	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:120	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:144	이식완료
P4	POST	/api/v1/admin/stores/{storeId}/communities/{communityId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:138	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:161	이식완료
P4	DELETE	/api/v1/admin/stores/{storeId}/communities/{communityId}/keywords/{keywordId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:156	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:178	이식완료
P4	GET	/api/v1/admin/stores/{storeId}/communities-keywords	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:174	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminController.java:194	이식완료
P4	GET	/api/v1/admin/seo/hospitals	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminSeoController.kt:26	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminSeoController.java:31	이식완료
P4	PATCH	/api/v1/admin/seo/hospitals/{storeId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminSeoController.kt:40	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/admin/controller/AdminSeoController.java:46	이식완료
P4	POST	/api/v1/airtable/saveThread	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:21	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/airtable/controller/AirtableController.java:21	이식완료
P4	POST	/api/v1/airtable/saveThreadComment	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:26	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/airtable/controller/AirtableController.java:26	이식완료
P4	POST	/api/v1/airtable/saveThreadReply	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:31	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/airtable/controller/AirtableController.java:31	이식완료
P4	POST	/api/v1/boost1/message-templates	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:19	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:47	이식완료
P4	POST	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/message-templates/{messageTemplateId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:32	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:59	이식완료
P4	GET	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/message-templates	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:47	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:74	이식완료
P4	GET	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:60	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:88	이식완료
P4	GET	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:75	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:102	이식완료
P4	GET	/api/v1/boost1/messages/{messageId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:93	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:120	이식완료
P4	POST	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:109	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:134	이식완료
P4	POST	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/without-notification	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:125	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:149	이식완료
P4	POST	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/{messageId}/posts	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:142	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:166	이식완료
P4	POST	/api/v1/boost1/gifts	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:159	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:182	이식완료
P4	POST	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:172	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:194	이식완료
P4	GET	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:187	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:209	이식완료
P4	GET	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:201	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:222	이식완료
P4	DELETE	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:216	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:236	이식완료
P4	POST	/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/{messageId}/posts/{postId}/customers/{customerId}/gifts/{giftId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:231	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:250	이식완료
P4	GET	/api/v1/boost1/customers/{customerId}	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:249	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/apis/reviewBoost/BoostController.java:268	이식완료
P4	POST	/api/v1/event-scheduler/register/targets	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:24	apps/booster-app/modules/legacy/src/main/java/legalcare/medilawyer/legacy/eventScheduler/controller/EventSchedulerController.java:38	이식완료
