경로	HTTP메서드	컨트롤러:라인	접촉 테이블(전수)	신규PG 부재 테이블 교차	판정
/api/v1/store/search	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:52	store,store_channel,app_user(조건부)	없음	접촉 X
/api/v1/store/{storeId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:66	store,store_channel,app_user(조건부)	없음	접촉 X
/api/v1/store/register	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:78	store,store_channel,app_user(조건부)	없음	접촉 X
/api/v1/store/store-channel/completed	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:91	store_channel,store,crawling_fail_log,app_user_store,app_user	crawling_fail_log	접촉 O
/api/v1/store/store-channel	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:108	store,store_channel,app_user	없음	접촉 X
/api/v1/stores/{storeId}/team	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:125	team,app_user	없음	접촉 X
/api/v1/stores/{storeId}/channels/{channelId}/auth	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:144	team,store,store_channel,team_auth_bypass,team_auth,app_user	없음	접촉 X
/api/v1/stores/{storeId}/channels	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:163	app_user_store,store,store_channel,app_user	없음	접촉 X
/api/v1/stores/{storeId}/posts/statistics	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:178	post,store_channel,store,post_reply_ai_recommend,post_word,post_reply,product_post,app_user,team(조건부)	없음	접촉 X
/api/v1/stores/{storeId}/posts/statistics/period-count	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:207	store_channel,post,app_user(조건부)	없음	접촉 X
/api/v1/stores/{storeId}/organization-team	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/store/controller/StoreController.kt:227	team,store,organization,app_user	없음	접촉 X
/api/v1/store-channel/search/naver	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:25	(DB 무접촉),app_user(조건부)	없음	접촉 X
/api/v1/store-channel/search/unofficial/naver	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:38	(DB 무접촉),app_user	없음	접촉 X
/api/v1/store-channel/search/kakao	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:50	(DB 무접촉),app_user	없음	접촉 X
/api/v1/store-channel/search/modoodoc	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:63	(DB 무접촉),app_user	없음	접촉 X
/api/v1/store-channel/search/google	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/storeChannel/controller/StoreChannelController.kt:76	(DB 무접촉),app_user	없음	접촉 X
/api/v1/app-users/me	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUser/controller/AppUserController.kt:36	app_user	없음	접촉 X
/api/v1/users/me/stores	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUser/controller/AppUserController.kt:50	app_user,app_user_store,store,organization_app_user,organization,team_app_user,team	없음	접촉 X
/api/v1/app-user-store/list	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:41	app_user_store,store,store_channel,app_user	없음	접촉 X
/api/v1/app-user-store/match	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:56	store,store_channel,app_user_store,app_user_channel_account,app_user	app_user_channel_account	접촉 O
/api/v1/app-user-channel-account/list	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:31	app_user_channel_account,app_user	app_user_channel_account	접촉 O
/api/v1/app-user-channel-account/login	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:45	app_user_channel_account,app_user	app_user_channel_account	접촉 O
/api/v1/app-user-channel-account/login/kakao/sms	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:67	app_user_channel_account,app_user	app_user_channel_account	접촉 O
/api/v1/app-user-channel-account/relogin	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:90	app_user_channel_account,app_user	app_user_channel_account	접촉 O
/api/v1/event-scheduler/register/targets	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:24	app_user,store_channel,store	없음	접촉 X
/api/v1/event-scheduler/update/targets	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:40	app_user	없음	접촉 X
/api/v1/event-scheduler/add/targets	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:56	app_user	없음	접촉 X
/api/v1/event-scheduler/delete/targets	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:72	app_user	없음	접촉 X
/api/v1/event-scheduler/register/task	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:88	app_user	없음	접촉 X
/api/v1/event-scheduler/update/task	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:105	app_user	없음	접촉 X
/api/v1/event-scheduler/delete/task	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:122	app_user	없음	접촉 X
/api/v1/event-scheduler/schedule/task	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/eventScheduler/controller/EventSchedulerController.kt:139	app_user,store_channel,store_channel_attribute,community_keyword,store_community_keyword,community,keyword	없음	접촉 X
/api/v1/kafka/review	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/kafka/controller/KafkaController.kt:26	app_user	없음	접촉 X
/api/v1/kafka/add/thread/crawling/data	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/kafka/controller/KafkaController.kt:38	app_user	없음	접촉 X
/api/v1/kafka/notice/crawl/thread/completion	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/kafka/controller/KafkaController.kt:50	app_user	없음	접촉 X
/api/v1/schedule	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/schedule/controller/ScheduledController.kt:20	app_user,store,store_channel,post,store_channel_attribute	없음	접촉 X
/api/v1/schedule/status	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/schedule/controller/ScheduledController.kt:36	app_user	없음	접촉 X
/api/v1/schedule/status	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/schedule/controller/ScheduledController.kt:61	app_user	없음	접촉 X
/api/v1/schedule/alimtalk/new-negative-post	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/schedule/controller/ScheduledController.kt:79	team_app_user,organization_app_user,team,store,app_user,app_user_store,store_channel,post	없음	접촉 X
/api/v1/schedule/alimtalk/new-positive-post	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/schedule/controller/ScheduledController.kt:95	team_app_user,organization_app_user,team,store,app_user,app_user_store,store_channel,post	없음	접촉 X
/api/v1/notice	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/notice/api/controller/NoticeController.kt:36	app_user	없음	접촉 X
/api/v1/negative-review-alimtalk	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/notice/api/controller/NoticeController.kt:64	app_user,app_user_store,store,store_channel	없음	접촉 X
/api/v1/auth/sign-up	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:20	otp,app_user,token	없음	접촉 X
/api/v1/auth/login	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:27	app_user,otp,organization_app_user,team_app_user,team,store,token,organization(미판정)	없음	접촉 X
/api/v1/otp/send	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/OtpController.kt:18	app_user,otp	없음	접촉 X
/api/v1/jwt/create	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/security/JwtController.kt:24	app_user,organization_app_user,team_app_user,team,store,token,organization(미판정)	없음	접촉 X
/api/v1/jwt/refresh	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/security/JwtController.kt:41	organization_app_user,app_user,team_app_user,team,store,token,organization(미판정)	없음	접촉 X
/api/v1/airtable/saveThread	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:21	community,store,store_channel,thread,store_thread	없음	접촉 X
/api/v1/airtable/saveThreadComment	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:26	thread,thread_comment	없음	접촉 X
/api/v1/airtable/saveThreadReply	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:31	thread_comment,thread_reply	없음	접촉 X
/api/v1/posts	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/post/controller/PostController.kt:27	post,store_channel,store,post_reply_ai_recommend,post_word,post_reply,product_post,app_user,product,team	없음	접촉 X
/api/v1/post-reply	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postReply/controller/PostReplyController.kt:33	app_user,team_channel_account,team,store,post,store_channel,post_reply_registration_request,post_reply	없음	접촉 X
/api/v1/post-reply-ai-recommend	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postReplyAiRecommend/controller/PostReplyAiRecommendController.kt:25	post,store_channel,post_reply_ai_recommend,app_user(조건부)	없음	접촉 X
/api/v1/post-word/statistics	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postWord/controller/PostWordController.kt:27	store_channel,post_word,post,store,app_user(조건부)	없음	접촉 X
/api/v1/public/hospitals	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/publicSeo/controller/PublicHospitalController.kt:19	store,app_user(조건부)	없음	접촉 X
/api/v1/public/hospitals/{storeId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/publicSeo/controller/PublicHospitalController.kt:26	store,store_channel,post,post_word,app_user(조건부)	없음	접촉 X
/api/v1/ml/capture-image	GET	module-client/core-client/src/main/kotlin/legalcare/medilawyer/client/ml/controller/MlController.kt:22	app_user,post,store_channel,store	없음	접촉 X
/api/v1/health	GET	module-core/core-common/src/main/kotlin/legalcare/medilawyer/common/health/HealthCheck.kt:11	(DB 무접촉)	없음	접촉 X
/internal/admin/web/stores/{storeId}/organization-team	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalAdminWebController.kt:31	team,store,organization	없음	접촉 X
/internal/admin/web/teams/{teamId}/message-templates	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalAdminWebController.kt:38	boost_team_message_template,boost_message_template,team	없음	접촉 X
/internal/admin/web/review-boost/team-message-templates	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalAdminWebController.kt:45	boost_message_template,boost_team_message_template,team,organization	없음	접촉 X
/internal/admin/web/review-boost/request-settings/statuses	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalAdminWebController.kt:52	boost_review_request_setting,boost_message_template	boost_review_request_setting	접촉 O
/internal/admin/web/review-boost/stores/{storeId}/hospital-message-template	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalAdminWebController.kt:60	store,boost_review_request_setting,boost_message_template,boost_message,boost_team_message_template	boost_review_request_setting	접촉 O
/internal/crawling/review-boost/stores/{storeId}/messages	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalCrawlingReviewBoostController.kt:22	team,store,boost_review_request_setting,boost_message_delivery,boost_message_template,boost_customer,boost_message	boost_message_delivery,boost_review_request_setting	접촉 O
/internal/product/review-boost/stores/{storeId}/request-setting	PUT	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalProductReviewBoostController.kt:15	store,boost_review_request_setting	boost_review_request_setting	접촉 O
/internal/reviewed/hospital/store/register	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:29	store,store_channel	없음	접촉 X
/internal/reviewed/customers	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:34	organization,team,store	없음	접촉 X
/internal/reviewed/auth-bypass/stores	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:39	store	없음	접촉 X
/internal/reviewed/auth-bypass/app-users	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:46	app_user	없음	접촉 X
/internal/reviewed/auth-bypass	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:53	team_auth_bypass	없음	접촉 X
/internal/reviewed/review-boost/google-place/statuses	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:60	store_channel,store_channel_attribute	없음	접촉 X
/internal/reviewed/review-boost/google-place	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/internal/controller/InternalReviewedHospitalController.kt:67	store_channel,store,store_channel_attribute	없음	접촉 X
/api/v2/boost1/organizations/{organizationId}/teams/{teamId}/messages	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/v2/controller/ReviewBoostV2Controller.kt:22	app_user,team,store,organization_app_user,team_app_user,boost_review_request_setting,boost_message_template,boost_customer,boost_message,boost_message_delivery	boost_message_delivery,boost_review_request_setting	범위 밖(/api/v2 — 선행 태스크)
/api/v1/ml	-	module-client/core-client/src/main/kotlin/legalcare/medilawyer/client/ml/controller/MlController.kt:12	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/app-user-channel-account	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:23	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/app-user-store	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:27	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
/api/v1/communities	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/community/controller/CommunityController.kt:7	해당없음 — 클래스 레벨 접두 (핸들러 0개 — 매핑 미등록)	해당없음	엔드포인트 아님
/api/v1/post-reply	-	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/postReply/controller/PostReplyController.kt:25	해당없음 — 클래스 레벨 접두 (하위 메서드 매핑에 이미 반영)	해당없음	엔드포인트 아님
