HTTP	경로	구 위치	컨트롤러	인증경계(구 SecurityConfig)	쓰기여부	외부호출(폐포)	접촉 테이블	신규PG 부재 교차	이식상태
GET	/api/v1/team/reviewWriteRate/{teamId}	apis/http/team/controller/TeamController.kt:47	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_message,post	없음	이식완료(P2-D)
GET	/api/v1/team/presentCount/{teamId}	apis/http/team/controller/TeamController.kt:52	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_present_order,boost_message	없음	이식완료(P2-D)
GET	/api/v1/team/presentHistories/{teamId}	apis/http/team/controller/TeamController.kt:57	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_present_order,boost_message,boost_present,boost_present_ledger	없음	이식완료(P2-D)
GET	/api/v1/team/presentHistories/{teamId}/excel	apis/http/team/controller/TeamController.kt:70	TeamController	permitAll(/api/v1/team/**)	읽기	없음	boost_present_order,boost_message,boost_present,boost_present_ledger	없음	이식완료(P2-D)
POST	/api/v1/products/{productName}/purchases	apis/http/productPost/controller/ProductController.kt:30	ProductController	authenticated	쓰기	Kafka	app_user,organization,team,store,product,product_post,post,store_channel,thread,community	없음	이식완료(P2-D)
GET	/api/v1/stores/check	apis/http/store/controller/StoreController.kt:39	StoreController	permitAll(/api/v1/stores/check)	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store,store_channel,app_user(조건부)	없음	이식완료(P2-D)
GET	/api/v1/store/search	apis/http/store/controller/StoreController.kt:52	StoreController	permitAll(/api/v1/store/*)	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store,store_channel,app_user(조건부)	없음	이식완료(P2-D)
GET	/api/v1/store/{storeId}	apis/http/store/controller/StoreController.kt:66	StoreController	permitAll(/api/v1/store/*)	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store,store_channel,app_user(조건부)	없음	이식완료(P2-D)
POST	/api/v1/store/register	apis/http/store/controller/StoreController.kt:78	StoreController	permitAll(/api/v1/store/register)	쓰기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store,store_channel,app_user(조건부)	없음	이식완료(P2-D)
POST	/api/v1/store/store-channel/completed	apis/http/store/controller/StoreController.kt:91	StoreController	authenticated	쓰기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store_channel,store,crawling_fail_log,app_user_store,app_user	crawling_fail_log	이식완료(P2-D)
POST	/api/v1/store/store-channel	apis/http/store/controller/StoreController.kt:108	StoreController	authenticated	쓰기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store,store_channel,app_user	없음	이식완료(P2-D)
GET	/api/v1/stores/{storeId}/team	apis/http/store/controller/StoreController.kt:125	StoreController	authenticated	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	team,app_user	없음	이식완료(P2-D)
POST	/api/v1/stores/{storeId}/channels/{channelId}/auth	apis/http/store/controller/StoreController.kt:144	StoreController	authenticated	쓰기	Kafka·ML·메일·스케줄러·알림톡·외부검색	team,store,store_channel,team_auth_bypass,team_auth,app_user	없음	이식완료(P2-D)
GET	/api/v1/stores/{storeId}/channels	apis/http/store/controller/StoreController.kt:163	StoreController	authenticated	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	app_user_store,store,store_channel,app_user	없음	이식완료(P2-D)
GET	/api/v1/stores/{storeId}/posts/statistics	apis/http/store/controller/StoreController.kt:178	StoreController	permitAll(/api/v1/stores/{storeId}/posts/statistics)	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	post,store_channel,store,post_reply_ai_recommend,post_word,post_reply,product_post,app_user,team(조건부)	없음	이식완료(P2-D)
GET	/api/v1/stores/{storeId}/posts/statistics/period-count	apis/http/store/controller/StoreController.kt:207	StoreController	permitAll(/api/v1/stores/{storeId}/posts/statistics/period-count)	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	store_channel,post,app_user(조건부)	없음	이식완료(P2-D)
GET	/api/v1/stores/{storeId}/organization-team	apis/http/store/controller/StoreController.kt:227	StoreController	authenticated	읽기	Kafka·ML·메일·스케줄러·알림톡·외부검색	team,store,organization,app_user	없음	이식완료(P2-D)
GET	/api/v1/app-users/me	apis/http/appUser/controller/AppUserController.kt:36	AppUserController	authenticated	읽기	없음	app_user	없음	이식완료(P2-A)
GET	/api/v1/users/me/stores	apis/http/appUser/controller/AppUserController.kt:50	AppUserController	authenticated	읽기	없음	app_user,app_user_store,store,organization_app_user,organization,team_app_user,team	없음	이식완료(P2-A)
GET	/api/v1/app-user-store/list	apis/http/appUserStore/controller/AppUserStoreController.kt:41	AppUserStoreController	authenticated	읽기	ML	app_user_store,store,store_channel,app_user	없음	이식완료(P2-C)
PATCH	/api/v1/app-user-store/match	apis/http/appUserStore/controller/AppUserStoreController.kt:56	AppUserStoreController	authenticated	쓰기	ML	store,store_channel,app_user_store,app_user_channel_account,app_user	app_user_channel_account	이식완료(P2-C)
GET	/api/v1/app-user-channel-account/list	apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:31	AppUserChannelAccountController	authenticated	읽기	ML	app_user_channel_account,app_user	app_user_channel_account	이식완료(P2-C)
POST	/api/v1/app-user-channel-account/login	apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:45	AppUserChannelAccountController	authenticated	쓰기	ML	app_user_channel_account,app_user	app_user_channel_account	이식완료(P2-C)
POST	/api/v1/app-user-channel-account/login/kakao/sms	apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:67	AppUserChannelAccountController	authenticated	쓰기	ML	app_user_channel_account,app_user	app_user_channel_account	이식완료(P2-C)
POST	/api/v1/app-user-channel-account/relogin	apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:90	AppUserChannelAccountController	authenticated	쓰기	ML	app_user_channel_account,app_user	app_user_channel_account	이식완료(P2-C)
POST	/api/v1/notice	notice/api/controller/NoticeController.kt:36	NoticeController	authenticated	쓰기	알림톡	app_user	없음	이식완료(P2-D)
POST	/api/v1/negative-review-alimtalk	notice/api/controller/NoticeController.kt:64	NoticeController	authenticated	쓰기	알림톡	app_user,app_user_store,store,store_channel	없음	이식완료(P2-D)
